campus,building_name
SBU WEST,Administration
SBU R&D,Advanced Energy Research and Technology Center (AERTC)
SBU EAST,Ambulatory Surgery Center
SBU WEST,Ammann College
SBU WEST,Arena, Island Federal Credit Union
SBU WEST,Athletic Indoor Practice Facility
SBU WEST,Baruch College
SBU EAST,Basic Sciences Tower
SBU WEST,Benedict College
SBU WEST,Bioengineering
SBU EAST,Cancer Center
SBU WEST,Cardozo College
SBU EAST,Carol M. Baldwin Breast Care Center
SBU R&D,Center of Excellence in Wireless and Information Technology (CEW)
SBU WEST,Centers for Molecular Medicine (CMM)
SBU WEST,Central Services (Receiving)
SBU WEST,Central Stores (Warehouse)
SBU SOUTH,Challenger Hall
SBU EAST,Chapin Apartments
SBU WEST,Charles B. Wang Center
SBU WEST,Chávez Hall
SBU WEST,Chemistry
SBU SOUTH,Child Care Center
SBU EAST,Children’s Hospital
SBU WEST,CoGen Plant
SBU WEST,Computer Science, New
SBU WEST,Computer Science, Original
SBU WEST,Computing Center
SBU SOUTH,Dana Hall
SBU WEST,Dewey College
SBU SOUTH,Discovery Hall
SBU WEST,Douglass College
SBU WEST,Dreiser College
SBU WEST,Dubin Family Athletic Performance Center
SBU SOUTH,Dutchess Hall
SBU WEST,Earth and Space Sciences
SBU WEST,East Side Dining
SBU WEST,Educational Communications Center (ECC)
SBU WEST,Eisenhower College
SBU SOUTH,Endeavour Hall
SBU WEST,Engineering
SBU WEST,Fine Arts Center
SBU WEST,Frey Hall
SBU WEST,Gershwin College
SBU WEST,Goldstein Family Student-Athlete Development Center
SBU WEST,Gray College
SBU WEST,Greeley College
SBU WEST,H Quad
SBU WEST,Hamilton College
SBU WEST,Hand College
SBU WEST,Harriman Hall
SBU EAST,Health Sciences Tower
SBU WEST,Heavy Engineering
SBU WEST,Hendrix College
SBU WEST,Hilton Garden Inn
SBU EAST,Hospital
SBU WEST,Humanities
SBU R&D,Innovation and Discovery Center
SBU WEST,Institute for Advanced Computational Science (IACS)
SBU WEST,Irving College
SBU WEST,James College
SBU WEST,Javits Lecture Center
SBU WEST,Joe Nathan Field
SBU WEST,Keller College
SBU WEST,Kelly Quad
SBU WEST,Kenneth P. LaValle Athletic Stadium
SBU WEST,Langmuir College
SBU WEST,Lauterbur Hall
SBU WEST,Library, Chemistry
SBU WEST,Library, Frank Melville Jr. Memorial
SBU WEST,Library, Health Sciences
SBU WEST,Library, Math, Physics, and Astronomy
SBU WEST,Library, Music
SBU WEST,Life Sciences
SBU WEST,Light Engineering
SBU EAST,Long Island High Technology Incubator
SBU EAST,Long Island State Veterans Home
SBU WEST,Louis and Beatrice Laufer Center for Physical and Quantitative Biolo
SBU SOUTH,Marine and Atmospheric Sciences Information Center (MASIC)
SBU WEST,Math Tower
SBU EAST,Medical and Research Translation (MART)
SBU WEST,Mendelsohn Quad
SBU WEST,Mount College
SBU SOUTH,Nassau Hall
SBU WEST,New York State Department of Environmental Conservation (DEC)
SBU WEST,Nobel Halls
SBU WEST,O’Neill College
SBU EAST,Pain Management Center
SBU WEST,Parking, Administration Garage
SBU EAST,Parking, Health Sciences Garage
SBU EAST,Parking, Hospital
SBU WEST,Parking, North P
SBU SOUTH,Parking, South P
SBU WEST,Paul W. Zuccaire Gallery
SBU WEST,Physics
SBU EAST,Point of Woods Buildings
SBU WEST,Pritchard Gymnasium
SBU WEST,Psychology A
SBU WEST,Psychology B
SBU SOUTH,Putnam Hall
SBU R&D,Research & Support Services (RSS)
SBU SOUTH,Rockland Hall
SBU WEST,Roosevelt Quad
SBU WEST,Roth Café
SBU WEST,Roth Quad
SBU WEST,Sanger College
SBU WEST,Schick College
SBU WEST,Schomburg Apartments
SBU WEST,Schomburg Center
SBU WEST,Schomburg, Building A
SBU WEST,Schomburg, Building B
SBU WEST,Service Group
SBU WEST,Simons Center for Geometry and Physics
SBU WEST,Social and Behavioral Sciences, Ward Melville
SBU WEST,Social, Cognitive and Affective Neuroscience (SCAN) Center
SBU WEST,Sports Complex
SBU WEST,Staller Center for the Arts
SBU WEST,Stimson College
SBU WEST,Stony Brook Union
SBU WEST,Student Activities Center (SAC)
SBU WEST,Student Health Center
SBU SOUTH,Suffolk Hall
SBU SOUTH,Sullivan Hall
SBU WEST,Tabler Center
SBU WEST,Tabler Quad
SBU WEST,Toscanini College
SBU WEST,Tubman Hall
SBU WEST,Van de Graaff Accelerator
SBU WEST,Wagner College
SBU WEST,Walter J. Hawrys Campus Recreation Center
SBU WEST,West Apartment Complex
SBU WEST,West Apartments, Building A
SBU WEST,West Apartments, Building B
SBU WEST,West Apartments, Building C
SBU WEST,West Apartments, Building D
SBU WEST,West Apartments, Building E
SBU WEST,West Apartments, Building F
SBU WEST,West Apartments, Building G
SBU WEST,West Apartments, Building H
SBU WEST,West Apartments, Building I
SBU WEST,West Apartments, Building J
SBU WEST,West Apartments, Building K
SBU WEST,West Side Dining
SBU SOUTH,Westchester Hall
SBU WEST,Whitman College
SBU WEST,Yang Hall
