campus,building_name,location,mercator_coordinates
SBU WEST,Administration,"MULTIPOINT((40.91497659029892 -73.11997518217233),(40.91474466814037 -73.1207623335315),(40.91444080593378 -73.1202351978741))","MULTIPOINT ((-8139678.402963172 4999808.806787126), (-8139766.028251641 4999774.642415009), (-8139707.347778687 4999729.880760946))"
SBU R&D,Advanced Energy Research and Technology Center (AERTC),MULTIPOINT((40.90392938998024 -73.13555542572172)),MULTIPOINT ((-8141412.787741285 4998181.580660084))
SBU EAST,Ambulatory Surgery Center,MULTIPOINT((40.90505336945054 -73.1157009058067)),MULTIPOINT ((-8139202.592694708 4998347.1277197))
SBU WEST,Ammann College,"MULTIPOINT((40.91788496347169 -73.12134063629794),(40.9186632534265 -73.12115288166703))","MULTIPOINT ((-8139830.404621116 5000237.248398798), (-8139809.503871212 5000351.903940329))"
SBU WEST,"Arena, Island Federal Credit Union","MULTIPOINT((40.917199932344616 -73.12636790442399),(40.91717030312117 -73.12553126575595))","MULTIPOINT ((-8140390.03754891 5000136.332608989), (-8140296.903358419 5000131.967784964))"
SBU WEST,Athletic Indoor Practice Facility,MULTIPOINT((40.920863571906835 -73.12306479586367)),MULTIPOINT ((-8140022.337185992 5000676.056127546))
SBU WEST,Baruch College,"MULTIPOINT((40.914168580590584 -73.13170959838394),(40.91387681046697 -73.1319552958412),(40.91360714299498 -73.1317183732932))","MULTIPOINT ((-8140984.672200423 4999689.779677997), (-8141012.0231162505 4999646.799667832), (-8140985.649018853 4999607.075718954))"
SBU EAST,Basic Sciences Tower,MULTIPOINT((40.9103825644245 -73.11677243646399)),MULTIPOINT ((-8139321.87494183 4999132.084766371))
SBU WEST,Benedict College,"MULTIPOINT((40.91993567794141 -73.11867301437455),(40.919685608326326 -73.11883978889318),(40.91940497969281 -73.11889861850645))","MULTIPOINT ((-8139533.446307017 5000539.356937779), (-8139552.011561505 5000502.516511576), (-8139558.560444097 5000461.1742759105))"
SBU WEST,Bioengineering,MULTIPOINT((40.91222135501718 -73.12036142790112)),MULTIPOINT ((-8139721.399641016 4999402.941786228))
SBU EAST,Cancer Center,"MULTIPOINT((40.90909564298397 -73.11685010030001),(40.90885538534791 -73.1171334877802),(40.90812815902918 -73.11736127695809))","MULTIPOINT ((-8139330.520440507 4998942.523503385), (-8139362.066990494 4998907.13438517), (-8139387.424365783 4998800.017249132))"
SBU WEST,Cardozo College,MULTIPOINT((40.91082582645205 -73.124763473545)),MULTIPOINT ((-8140211.433120474 4999197.377337065))
SBU EAST,Carol M. Baldwin Breast Care Center,MULTIPOINT((40.906119415514226 -73.1151496701097)),MULTIPOINT ((-8139141.229417619 4998504.14456752))
SBU R&D,Center of Excellence in Wireless and Information Technology (CEW),"MULTIPOINT((40.90264297275221 -73.13436582936835),(40.902255239281786 -73.1342506219813))","MULTIPOINT ((-8141280.362480997 4997992.112156139), (-8141267.537653335 4997935.005994022))"
SBU WEST,Centers for Molecular Medicine (CMM),"MULTIPOINT((40.91223631254207 -73.11943516186533),(40.91188479312204 -73.11964541501347))","MULTIPOINT ((-8139618.288177587 4999405.145086278), (-8139641.693450972 4999353.365076467))"
SBU WEST,Central Services (Receiving),MULTIPOINT((40.91685547261306 -73.12764660648891)),MULTIPOINT ((-8140532.382011635 5000085.588702898))
SBU WEST,Central Stores (Warehouse),MULTIPOINT((40.917281216626655 -73.12815008971039)),MULTIPOINT ((-8140588.429507465 5000148.306999261))
SBU SOUTH,Challenger Hall,MULTIPOINT((40.904907064189636 -73.11807652406146)),MULTIPOINT ((-8139467.045309111 4998325.578763139))
SBU EAST,Chapin Apartments,MULTIPOINT((40.90724441260379 -73.10937829442415)),MULTIPOINT ((-8138498.762815216 4998669.846997434))
SBU WEST,Charles B. Wang Center,"MULTIPOINT((40.9156682629007 -73.11973959483315),(40.915780688230896 -73.12052629187347),(40.915902137421824 -73.11885654353257))","MULTIPOINT ((-8139652.17750054 4999910.697548097), (-8139739.752214466 4999927.259100607), (-8139553.876679431 4999945.150003902))"
SBU WEST,Chávez Hall,"MULTIPOINT((40.917033311112185 -73.12008867151951),(40.9165266569165 -73.12027133540958),(40.916956533525195 -73.12115854209536))","MULTIPOINT ((-8139691.03653951 5000111.78685583), (-8139711.370590736 5000037.14963636), (-8139810.133987211 5000100.476411168))"
SBU WEST,Chemistry,"MULTIPOINT((40.916202354301575 -73.12352486047808),(40.91661089428735 -73.12353637017617))","MULTIPOINT ((-8140073.551344595 4999989.375644703), (-8140074.832598323 5000049.558934655))"
